Period,OOS,Realized,ARX,RW,HM
1996-08-31,False,0.20790020790020236,0.21881246730892645,0.31152647975076775,4.622678348169835
1996-09-30,False,0.20682523267838704,-0.02258290873677904,0.20790020790020236,4.608344652909219
1996-10-31,False,0.20661157024794985,0.2959368854970945,0.20682523267838704,4.594100253490995
1996-11-30,False,0.4136504653567741,0.32608666451541257,0.20661157024792765,4.579947064190212
1996-12-31,False,0.31023784901758056,0.3310368326751467,0.4136504653567741,4.5665506121039305
1997-01-31,False,0.520291363163361,0.7746278132530371,0.31023784901758056,4.552908584017115
1997-02-28,False,0.41623309053069324,0.5126325772499829,0.520291363163361,4.5400248229281255
1997-03-31,False,0.5192107995846129,0.35386660042777685,0.41623309053069324,4.526891728238962
1997-04-30,False,1.9648397104446547,1.4560576371908995,0.5192107995846351,4.51416893164006
1997-05-31,False,2.066115702479343,2.2902517967293923,1.9648397104446547,4.506101434104631
1997-06-30,False,1.9628099173553792,1.9372042642251452,2.066115702479343,4.498404318231996
1997-07-31,False,2.0703933747411973,1.9181506658528802,1.9628099173553792,4.490430750933641
1997-08-31,False,2.178423236514515,2.3039255339084352,2.0703933747411973,4.482844426870342
1997-09-30,False,2.3735810113518996,2.351032158969435,2.178423236514515,4.475643110650481
1997-10-31,False,2.3711340206185483,2.366221914719846,2.3735810113518996,4.4690946305903605
1997-11-30,False,2.1627188465499714,2.2716344495997687,2.3711340206185483,4.46257922496933
1997-12-31,False,2.1649484536082397,2.1808870670019687,2.162718846549949,4.455458914200229
1998-01-31,False,2.0703933747411973,2.1252978575375447,2.1649484536082397,4.4483894374700075
1998-02-28,False,1.865284974093262,1.962481542568728,2.0703933747411973,4.441072526507765
1998-03-31,False,1.8595041322314154,1.686416834925497,1.865284974093262,4.4331713376966775
1998-04-30,False,0.20283975659229903,0.3439596076093343,1.8595041322313932,4.425300795783939
1998-05-31,False,0.0,0.11446103131087515,0.20283975659229903,4.412427438957136
1998-06-30,False,0.0,0.039060010020097735,0.0,4.399015805404074
1998-07-31,False,-0.10141987829614951,-0.2793564864914111,0.0,4.385685454478607
1998-08-31,False,-0.10152284263958977,0.03172148314467549,-0.10141987829613841,4.372129245014031
1998-09-30,False,-0.504032258064524,-0.4801186905493249,-0.10152284263958977,4.358654389328327
1998-10-31,False,-0.40281973816714833,-0.44690741263558875,-0.5040322580645129,4.344051726723545
1998-11-30,False,-0.3024193548387122,-0.39229251648911223,-0.40281973816715944,4.329839536708902
1998-12-31,False,-0.3027245206861706,-0.2193778356105569,-0.3024193548387122,4.31601189822667
1999-01-31,False,-0.10141987829613841,-0.2511623723005396,-0.3027245206861706,4.302265658884667
1999-02-28,False,-0.10172939979653517,0.04940809314890604,-0.10141987829613841,4.2891983427506
1999-03-31,False,-0.10141987829614951,-0.32962991086087357,-0.10172939979653517,4.2762074322696915
1999-04-30,False,-0.10121457489876695,0.07710699246836761,-0.10141987829613841,4.263294077371267
1999-05-31,False,0.0,0.04130120345569033,-0.10121457489877805,4.2504572872175315
1999-06-30,False,0.0,0.08932102785363938,0.0,4.2379926030907935
1999-07-31,False,2.220446049250313e-14,-0.11156765393641743,0.0,4.225600811853686
1999-08-31,False,0.0,0.10641794170132002,0.0,4.213281275959069
1999-09-30,False,-1.1102230246251565e-14,0.12111722191414653,0.0,4.201033365273141
1999-10-31,False,-0.10111223458039165,-0.234321655898595,0.0,4.188856456968002
1999-11-30,False,-0.2022244691607722,-0.1964568475810724,-0.10111223458039165,4.17645770352422
1999-12-31,False,-0.10121457489877805,-0.16712898208490756,-0.2022244691607722,4.163839022911295
2000-01-31,False,-0.20304568527917954,-0.21446651390520932,-0.10121457489877805,4.151583121768163
2000-02-29,False,-0.10183299389002753,-0.04574471694366311,-0.20304568527919065,4.139105675329632
2000-03-31,False,-0.20304568527917954,-0.2082858412681743,-0.10183299389002753,4.12698870770329
2000-04-30,False,-0.20263424518742745,-0.2618557956989065,-0.20304568527919065,4.114652427381403
2000-05-31,False,-0.10121457489876695,-0.16563885849374405,-0.20263424518743856,4.1023874084252405
2000-06-30,False,-0.20263424518743856,-0.36194508888822696,-0.10121457489877805,4.090479187509309
2000-07-31,False,-0.20304568527919065,-0.09312541703802024,-0.20263424518743856,4.078351748433894
2000-08-31,False,0.0,0.02819954625581378,-0.20304568527919065,4.066291473972731
2000-09-30,False,-0.4052684903748771,-0.3015409288844362,0.0,4.0548693069110096
2000-10-31,False,-0.7085020242914908,-0.792910626897736,-0.4052684903748771,4.042375923725335
2000-11-30,False,-0.6079027355623157,-0.7672227260651421,-0.7085020242915019,4.029105314931992
2000-12-31,False,-0.6079027355623157,-0.5660250646182807,-0.6079027355623157,4.016188857966827
2001-01-31,False,-0.8138351983723258,-0.6797799184102504,-0.6079027355623157,4.003344159095912
2001-02-28,False,-0.8154943934760461,-0.9489906147116423,-0.8138351983723258,3.990000171956111
2001-03-31,False,-0.9155645981688609,-0.9353745477438835,-0.8154943934760461,3.976725325090276
2001-04-30,False,-0.8121827411167404,-0.7993879561480455,-0.9155645981688609,3.963247942381573
2001-05-31,False,-1.0131712259371817,-0.861713420773591,-0.8121827411167515,3.9501286273170177
2001-06-30,False,-0.9137055837563524,-0.9872510172681537,-1.0131712259371817,3.93653054552728
2001-07-31,False,-0.9155645981688609,-0.8018471609778866,-0.9137055837563524,3.9232785342450844
2001-08-31,False,-0.9146341463414753,-0.9482160873827694,-0.9155645981688609,3.910093675573657
2001-09-30,False,-0.8138351983723258,-0.8761584831284419,-0.9146341463414642,3.89698300214454
2001-10-31,False,-0.7135575942915251,-0.7225873782077841,-0.8138351983723258,3.8842165571566896
2001-11-30,False,-0.815494393476035,-0.8968232880082971,-0.7135575942915251,3.8717901405311537
2001-12-31,False,-0.917431192660545,-0.8158620179026688,-0.8154943934760461,3.8591559504125357
2002-01-31,False,-0.8205128205128198,-0.8733530857578664,-0.917431192660545,3.846315662393522
2002-02-28,False,-0.8221993833504526,-0.7203456661899699,-0.8205128205128198,3.833804057881709
2002-03-31,False,-0.7186858316221789,-0.6393511339966129,-0.8221993833504637,3.8213548508195907
2002-04-30,False,-0.92118730808598,-1.022600960607889,-0.7186858316221789,3.8092480756664124
2002-05-31,False,-0.8188331627430712,-0.8117662136777004,-0.92118730808598,3.7966671304968584
2002-06-30,False,-0.8196721311475419,-0.8348126342760054,-0.8188331627430934,3.784424424148742
2002-07-31,False,-0.8213552361396426,-0.7076464057007459,-0.8196721311475419,3.7722442745315554
2002-08-31,False,-0.9230769230769265,-0.7484900988003917,-0.8213552361396426,3.7601239591999693
2002-09-30,False,-0.9230769230769265,-0.9851396314311756,-0.9230769230769265,3.7477997463518724
